code_station,libelle_support,date_prelevement,code_parametre,libelle_parametre,resultat,symbole_unite,mnemo_remarque,limite_quantification,libelle_qualification
03012680,Eau,2015-05-19,1506,Glyphosate,0.19,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012680,Eau,2015-07-07,1506,Glyphosate,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012680,Eau,2015-07-07,1907,AMPA,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012680,Eau,2015-09-08,1907,AMPA,0.02,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012680,Eau,2015-09-08,1506,Glyphosate,0.13,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012680,Eau,2015-11-03,1907,AMPA,0.07,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012680,Eau,2015-11-03,1506,Glyphosate,0.08,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012680,Eau,2019-02-05,1907,AMPA,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012680,Eau,2019-02-05,1506,Glyphosate,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012680,Eau,2019-04-02,1907,AMPA,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012680,Eau,2019-04-02,1506,Glyphosate,0.02,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012680,Eau,2019-06-13,1907,AMPA,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012680,Eau,2019-06-13,1506,Glyphosate,0.09,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012680,Eau,2019-08-02,1907,AMPA,0.03,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012680,Eau,2019-08-02,1506,Glyphosate,0.08,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012680,Eau,2019-10-02,1907,AMPA,0.49,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012680,Eau,2019-10-02,1506,Glyphosate,1.1,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012680,Eau,2019-12-03,1506,Glyphosate,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012680,Eau,2019-12-03,1907,AMPA,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012710,Eau,2015-01-13,1907,AMPA,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012710,Eau,2015-01-13,1506,Glyphosate,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012710,Eau,2015-03-10,1907,AMPA,0.03,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012710,Eau,2015-03-10,1506,Glyphosate,0.06,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012710,Eau,2015-05-19,1907,AMPA,0.02,µg/L,Résultat < au seuil de quantification,0.02,Correcte
03012710,Eau,2015-05-19,1506,Glyphosate,0.04,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012710,Eau,2015-07-07,1506,Glyphosate,2.12,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012710,Eau,2015-07-07,1907,AMPA,0.21,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012710,Eau,2015-09-08,1506,Glyphosate,0.09,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012710,Eau,2015-09-08,1907,AMPA,0.05,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012710,Eau,2015-11-03,1907,AMPA,0.67,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012710,Eau,2015-11-03,1506,Glyphosate,0.79,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.02,Correcte
03012800,Eau,2006-07-18,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Qualification non definissable
03012800,Eau,2006-07-18,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Qualification non definissable
03012800,Eau,2006-09-20,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Qualification non definissable
03012800,Eau,2006-09-20,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Qualification non definissable
03012800,Eau,2007-03-14,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03012800,Eau,2007-03-14,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03012800,Eau,2007-04-11,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
